# TIA-102.BABA-A imbe_bit_prioritization.csv — Full-Rate Bit Prioritization Map (L-dependent scan)
# Source: BABA-A PDF, pages 33–35 (Section 7.1), combined with Annex F (B_m for b̂₃..b̂₇)
#         and Annex G (B_m for b̂₈..b̂_{L+1}). Figure 22 scan algorithm expanded to explicit
#         (src_param, src_bit) → (dst_vec, dst_bit) mapping for every L in [9, 56].
# Invariants verified for every L:
#   - Bit budget 8 + K + 6 + (73-K) + 1 = 88 (PASS)
#   - src coverage: every allocated (b̂_l, bit) appears exactly once (PASS)
#   - dst coverage: û_0..û_7 bits 0..(width-1) each appear exactly once (PASS)
# Parameter widths: b̂₀=8 (pitch), b̂₁=K (V/UV, see Eq. 48), b̂₂=6 (gain),
#                    b̂_l for l=3..7 from Annex F, b̂_l for l=8..L+1 from Annex G,
#                    b̂_{L+2} has 1 transmitted bit (LSB only, always in û₇[0]).
# Total rows = 48 L values × 88 info bits = 4224.
L,src_param,src_bit,dst_vec,dst_bit
14,5,4,1,2
14,6,4,1,1
14,7,4,1,0
14,8,4,2,11
14,9,4,2,10
14,10,4,2,9
14,3,3,2,8
14,4,3,2,7
14,5,3,2,6
14,6,3,2,5
14,7,3,2,4
14,8,3,2,3
14,9,3,2,2
14,10,3,2,1
14,11,3,2,0
14,12,3,3,11
14,14,3,3,10
14,3,2,3,9
14,4,2,3,8
14,5,2,3,7
14,6,2,3,6
14,7,2,3,5
14,8,2,3,4
14,9,2,3,3
14,10,2,3,2
14,11,2,3,1
14,12,2,3,0
14,1,4,4,10
14,1,3,4,9
14,1,2,4,8
14,1,1,4,7
14,1,0,4,6
14,2,2,4,5
14,2,1,4,4
14,13,2,4,3
14,14,2,4,2
14,15,2,4,1
14,3,1,4,0
14,4,1,5,10
14,5,1,5,9
14,6,1,5,8
14,7,1,5,7
14,8,1,5,6
14,9,1,5,5
14,10,1,5,4
14,11,1,5,3
14,12,1,5,2
14,13,1,5,1
14,14,1,5,0
14,15,1,6,10
14,3,0,6,9
14,4,0,6,8
14,5,0,6,7
14,6,0,6,6
14,7,0,6,5
14,8,0,6,4
14,9,0,6,3
14,10,0,6,2
14,11,0,6,1
14,12,0,6,0
14,13,0,7,6
14,14,0,7,5
14,15,0,7,4
14,2,0,7,3
14,0,1,7,2
14,0,0,7,1
14,16,0,7,0
15,0,7,0,11
15,0,6,0,10
15,0,5,0,9
15,0,4,0,8
15,0,3,0,7
15,0,2,0,6
15,2,5,0,5
15,2,4,0,4
15,2,3,0,3
15,3,6,0,2
15,9,6,0,1
15,3,5,0,0
15,4,5,1,11
15,5,5,1,10
15,6,5,1,9
15,8,5,1,8
15,9,5,1,7
15,3,4,1,6
15,4,4,1,5
15,5,4,1,4
15,6,4,1,3
15,7,4,1,2
15,8,4,1,1
15,9,4,1,0
15,10,4,2,11
15,3,3,2,10
15,4,3,2,9
15,5,3,2,8
15,6,3,2,7
15,7,3,2,6
15,8,3,2,5
15,9,3,2,4
15,10,3,2,3
15,11,3,2,2
15,12,3,2,1
15,3,2,2,0
15,4,2,3,11
15,5,2,3,10
15,6,2,3,9
15,7,2,3,8
15,8,2,3,7
15,9,2,3,6
15,10,2,3,5
15,11,2,3,4
15,12,2,3,3
15,13,2,3,2
15,14,2,3,1
15,15,2,3,0
15,1,4,4,10
15,1,3,4,9
15,1,2,4,8
15,1,1,4,7
15,1,0,4,6
15,2,2,4,5
15,2,1,4,4
15,16,2,4,3
15,3,1,4,2
15,4,1,4,1
15,5,1,4,0
15,6,1,5,10
15,7,1,5,9
15,8,1,5,8
15,9,1,5,7
15,10,1,5,6
15,11,1,5,5
15,12,1,5,4
15,13,1,5,3
15,14,1,5,2
15,15,1,5,1
15,16,1,5,0
15,3,0,6,10
15,4,0,6,9
15,5,0,6,8
15,6,0,6,7
15,7,0,6,6
15,8,0,6,5
15,9,0,6,4
15,10,0,6,3
15,11,0,6,2
15,12,0,6,1
15,13,0,6,0
15,14,0,7,6
15,15,0,7,5
15,16,0,7,4
15,2,0,7,3
15,0,1,7,2
15,0,0,7,1
15,17,0,7,0
16,0,7,0,11
16,0,6,0,10
16,0,5,0,9
16,0,4,0,8
16,0,3,0,7
16,0,2,0,6
16,2,5,0,5
16,2,4,0,4
16,2,3,0,3
16,3,5,0,2
16,4,5,0,1
16,5,5,0,0
16,8,5,1,11
16,9,5,1,10
16,3,4,1,9
16,4,4,1,8
16,5,4,1,7
16,6,4,1,6
16,7,4,1,5
16,8,4,1,4
16,9,4,1,3
16,10,4,1,2
16,3,3,1,1
16,4,3,1,0
16,5,3,2,11
16,6,3,2,10
16,7,3,2,9
16,8,3,2,8
16,9,3,2,7
16,10,3,2,6
16,11,3,2,5
16,12,3,2,4
16,3,2,2,3
16,4,2,2,2
16,5,2,2,1
16,6,2,2,0
16,7,2,3,11
16,8,2,3,10
16,9,2,3,9
16,10,2,3,8
16,11,2,3,7
16,12,2,3,6
16,13,2,3,5
16,14,2,3,4
16,15,2,3,3
16,16,2,3,2
16,3,1,3,1
16,4,1,3,0
16,1,5,4,10
16,1,4,4,9
16,1,3,4,8
16,1,2,4,7
16,1,1,4,6
16,1,0,4,5
16,2,2,4,4
16,2,1,4,3
16,5,1,4,2
16,6,1,4,1
16,7,1,4,0
16,8,1,5,10
16,9,1,5,9
16,10,1,5,8
16,11,1,5,7
16,12,1,5,6
16,13,1,5,5
16,14,1,5,4
16,15,1,5,3
16,16,1,5,2
16,17,1,5,1
16,3,0,5,0
16,4,0,6,10
16,5,0,6,9
16,6,0,6,8
16,7,0,6,7
16,8,0,6,6
16,9,0,6,5
16,10,0,6,4
16,11,0,6,3
16,12,0,6,2
16,13,0,6,1
16,14,0,6,0
16,15,0,7,6
16,16,0,7,5
16,17,0,7,4
16,2,0,7,3
16,0,1,7,2
16,0,0,7,1
16,18,0,7,0
17,0,7,0,11
17,0,6,0,10
17,0,5,0,9
17,0,4,0,8
17,0,3,0,7
17,0,2,0,6
17,2,5,0,5
17,2,4,0,4
17,2,3,0,3
17,3,5,0,2
17,4,5,0,1
17,3,4,0,0
17,4,4,1,11
17,5,4,1,10
17,6,4,1,9
17,7,4,1,8
17,8,4,1,7
17,9,4,1,6
17,10,4,1,5
17,3,3,1,4
17,4,3,1,3
17,5,3,1,2
17,6,3,1,1
17,7,3,1,0
17,8,3,2,11
17,9,3,2,10
17,10,3,2,9
17,11,3,2,8
17,12,3,2,7
17,13,3,2,6
17,3,2,2,5
17,4,2,2,4
17,5,2,2,3
17,6,2,2,2
17,7,2,2,1
17,8,2,2,0
17,9,2,3,11
17,10,2,3,10
17,11,2,3,9
17,12,2,3,8
17,13,2,3,7
17,14,2,3,6
17,15,2,3,5
17,17,2,3,4
17,3,1,3,3
17,4,1,3,2
17,5,1,3,1
17,6,1,3,0
17,1,5,4,10
17,1,4,4,9
17,1,3,4,8
17,1,2,4,7
17,1,1,4,6
17,1,0,4,5
17,2,2,4,4
17,2,1,4,3
17,7,1,4,2
17,8,1,4,1
17,9,1,4,0
17,10,1,5,10
17,11,1,5,9
17,12,1,5,8
17,13,1,5,7
17,14,1,5,6
17,15,1,5,5
17,16,1,5,4
17,17,1,5,3
17,18,1,5,2
17,3,0,5,1
17,4,0,5,0
17,5,0,6,10
17,6,0,6,9
17,7,0,6,8
17,8,0,6,7
17,9,0,6,6
17,10,0,6,5
17,11,0,6,4
17,12,0,6,3
17,13,0,6,2
17,14,0,6,1
17,15,0,6,0
17,16,0,7,6
17,17,0,7,5
17,18,0,7,4
17,2,0,7,3
17,0,1,7,2
17,0,0,7,1
17,19,0,7,0
18,0,7,0,11
18,0,6,0,10
18,0,5,0,9
18,0,4,0,8
18,0,3,0,7
18,0,2,0,6
18,2,5,0,5
18,2,4,0,4
18,2,3,0,3
18,3,5,0,2
18,3,4,0,1
18,4,4,0,0
18,5,4,1,11
18,6,4,1,10
18,7,4,1,9
18,8,4,1,8
18,10,4,1,7
18,11,4,1,6
18,3,3,1,5
18,4,3,1,4
18,5,3,1,3
18,6,3,1,2
18,7,3,1,1
18,8,3,1,0
18,9,3,2,11
18,10,3,2,10
18,11,3,2,9
18,12,3,2,8
18,3,2,2,7
18,4,2,2,6
18,5,2,2,5
18,6,2,2,4
18,7,2,2,3
18,8,2,2,2
18,9,2,2,1
18,10,2,2,0
18,11,2,3,11
18,12,2,3,10
18,13,2,3,9
18,14,2,3,8
18,15,2,3,7
18,16,2,3,6
18,3,1,3,5
18,4,1,3,4
18,5,1,3,3
18,6,1,3,2
18,7,1,3,1
18,8,1,3,0
18,1,5,4,10
18,1,4,4,9
18,1,3,4,8
18,1,2,4,7
18,1,1,4,6
18,1,0,4,5
18,2,2,4,4
18,2,1,4,3
18,9,1,4,2
18,10,1,4,1
18,11,1,4,0
18,12,1,5,10
18,13,1,5,9
18,14,1,5,8
18,15,1,5,7
18,16,1,5,6
18,17,1,5,5
18,18,1,5,4
18,19,1,5,3
18,3,0,5,2
18,4,0,5,1
18,5,0,5,0
18,6,0,6,10
18,7,0,6,9
18,8,0,6,8
18,9,0,6,7
18,10,0,6,6
18,11,0,6,5
18,12,0,6,4
18,13,0,6,3
18,14,0,6,2
18,15,0,6,1
18,16,0,6,0
18,17,0,7,6
18,18,0,7,5
18,19,0,7,4
18,2,0,7,3
18,0,1,7,2
18,0,0,7,1
18,20,0,7,0
19,0,7,0,11
19,0,6,0,10
19,0,5,0,9
19,0,4,0,8
19,0,3,0,7
19,0,2,0,6
19,2,5,0,5
19,2,4,0,4
19,2,3,0,3
19,3,5,0,2
19,3,4,0,1
19,4,4,0,0
19,5,4,1,11
19,8,4,1,10
19,10,4,1,9
19,3,3,1,8
19,4,3,1,7
19,5,3,1,6
19,6,3,1,5
19,7,3,1,4
19,8,3,1,3
19,9,3,1,2
19,10,3,1,1
19,11,3,1,0
19,12,3,2,11
19,3,2,2,10
19,4,2,2,9
19,5,2,2,8
