# TIA-102.BABA-A annex_g_hoc_allocation.csv — Bit Allocation for Higher Order DCT Coefficients (full-rate)
# Source: BABA-A PDF, pages 89-101
# Extracted from pdftotext -layout output with verification: Entry count = L-6 per L (3 at L=9 up to 50 at L=56); b_m contiguous from 8
L,C_i,C_k,b_m,B_m
41,4,6,29,1
41,4,7,30,0
41,5,2,31,2
41,5,3,32,1
41,5,4,33,1
41,5,5,34,1
41,5,6,35,1
41,5,7,36,0
41,6,2,37,2
41,6,3,38,1
41,6,4,39,1
41,6,5,40,1
41,6,6,41,0
41,6,7,42,0
42,1,2,8,3
42,1,3,9,2
42,1,4,10,2
42,1,5,11,2
42,1,6,12,1
42,1,7,13,1
42,2,2,14,3
42,2,3,15,2
42,2,4,16,2
42,2,5,17,2
42,2,6,18,1
42,2,7,19,1
42,3,2,20,2
42,3,3,21,2
42,3,4,22,1
42,3,5,23,1
42,3,6,24,1
42,3,7,25,1
42,4,2,26,2
42,4,3,27,2
42,4,4,28,1
42,4,5,29,1
42,4,6,30,1
42,4,7,31,0
42,5,2,32,2
42,5,3,33,1
42,5,4,34,1
42,5,5,35,1
42,5,6,36,0
42,5,7,37,0
42,6,2,38,2
42,6,3,39,1
42,6,4,40,1
42,6,5,41,1
42,6,6,42,0
42,6,7,43,0
43,1,2,8,3
43,1,3,9,2
43,1,4,10,2
43,1,5,11,2
43,1,6,12,1
43,1,7,13,1
43,2,2,14,3
43,2,3,15,2
43,2,4,16,2
43,2,5,17,2
43,2,6,18,1
43,2,7,19,1
43,3,2,20,2
43,3,3,21,2
43,3,4,22,1
43,3,5,23,1
43,3,6,24,1
43,3,7,25,1
43,4,2,26,2
43,4,3,27,1
43,4,4,28,1
43,4,5,29,1
43,4,6,30,1
43,4,7,31,0
43,5,2,32,2
43,5,3,33,1
43,5,4,34,1
43,5,5,35,1
43,5,6,36,0
43,5,7,37,0
43,6,2,38,2
43,6,3,39,1
43,6,4,40,1
43,6,5,41,1
43,6,6,42,1
43,6,7,43,0
43,6,8,44,0
44,1,2,8,3
44,1,3,9,2
44,1,4,10,2
44,1,5,11,1
44,1,6,12,1
44,1,7,13,1
44,2,2,14,3
44,2,3,15,2
44,2,4,16,2
44,2,5,17,2
44,2,6,18,1
44,2,7,19,1
44,3,2,20,2
44,3,3,21,2
44,3,4,22,1
44,3,5,23,1
44,3,6,24,1
44,3,7,25,1
44,4,2,26,2
44,4,3,27,1
44,4,4,28,1
44,4,5,29,1
44,4,6,30,1
44,4,7,31,0
44,5,2,32,2
44,5,3,33,1
44,5,4,34,1
44,5,5,35,1
44,5,6,36,1
44,5,7,37,0
44,5,8,38,0
44,6,2,39,2
44,6,3,40,1
44,6,4,41,1
44,6,5,42,1
44,6,6,43,1
44,6,7,44,0
44,6,8,45,0
45,1,2,8,3
45,1,3,9,2
45,1,4,10,2
45,1,5,11,1
45,1,6,12,1
45,1,7,13,1
45,2,2,14,3
45,2,3,15,2
45,2,4,16,2
45,2,5,17,1
45,2,6,18,1
45,2,7,19,1
45,3,2,20,2
45,3,3,21,2
45,3,4,22,1
45,3,5,23,1
45,3,6,24,1
45,3,7,25,1
45,4,2,26,2
45,4,3,27,2
45,4,4,28,1
45,4,5,29,1
45,4,6,30,1
45,4,7,31,0
45,4,8,32,0
45,5,2,33,2
45,5,3,34,1
45,5,4,35,1
45,5,5,36,1
45,5,6,37,1
45,5,7,38,0
45,5,8,39,0
45,6,2,40,2
45,6,3,41,1
45,6,4,42,1
45,6,5,43,1
45,6,6,44,1
45,6,7,45,0
45,6,8,46,0
46,1,2,8,3
46,1,3,9,2
46,1,4,10,2
46,1,5,11,1
46,1,6,12,1
46,1,7,13,1
46,2,2,14,3
46,2,3,15,2
46,2,4,16,2
46,2,5,17,1
46,2,6,18,1
46,2,7,19,1
46,3,2,20,2
46,3,3,21,2
46,3,4,22,1
46,3,5,23,1
46,3,6,24,1
46,3,7,25,1
46,3,8,26,1
46,4,2,27,2
46,4,3,28,2
46,4,4,29,1
46,4,5,30,1
46,4,6,31,1
46,4,7,32,0
46,4,8,33,0
46,5,2,34,2
46,5,3,35,1
46,5,4,36,1
46,5,5,37,1
46,5,6,38,1
46,5,7,39,0
46,5,8,40,0
46,6,2,41,2
46,6,3,42,1
46,6,4,43,1
46,6,5,44,1
46,6,6,45,1
46,6,7,46,0
46,6,8,47,0
47,1,2,8,3
47,1,3,9,2
47,1,4,10,2
47,1,5,11,1
47,1,6,12,1
47,1,7,13,1
47,2,2,14,3
47,2,3,15,2
47,2,4,16,2
47,2,5,17,1
47,2,6,18,1
47,2,7,19,1
47,2,8,20,1
47,3,2,21,2
47,3,3,22,2
47,3,4,23,1
47,3,5,24,1
47,3,6,25,1
47,3,7,26,1
47,3,8,27,1
47,4,2,28,2
47,4,3,29,2
47,4,4,30,1
47,4,5,31,1
47,4,6,32,1
47,4,7,33,0
47,4,8,34,0
47,5,2,35,2
47,5,3,36,1
47,5,4,37,1
47,5,5,38,1
47,5,6,39,1
47,5,7,40,0
47,5,8,41,0
47,6,2,42,2
47,6,3,43,1
47,6,4,44,1
47,6,5,45,1
47,6,6,46,0
47,6,7,47,0
47,6,8,48,0
48,1,2,8,3
48,1,3,9,2
48,1,4,10,2
48,1,5,11,1
48,1,6,12,1
48,1,7,13,1
48,1,8,14,1
48,2,2,15,3
48,2,3,16,2
48,2,4,17,2
48,2,5,18,1
48,2,6,19,1
48,2,7,20,1
48,2,8,21,1
48,3,2,22,2
48,3,3,23,2
48,3,4,24,1
48,3,5,25,1
48,3,6,26,1
48,3,7,27,1
48,3,8,28,1
48,4,2,29,2
48,4,3,30,2
48,4,4,31,1
48,4,5,32,1
48,4,6,33,1
48,4,7,34,0
48,4,8,35,0
48,5,2,36,2
48,5,3,37,1
48,5,4,38,1
48,5,5,39,1
48,5,6,40,0
48,5,7,41,0
48,5,8,42,0
48,6,2,43,2
48,6,3,44,1
48,6,4,45,1
48,6,5,46,1
48,6,6,47,0
48,6,7,48,0
48,6,8,49,0
49,1,2,8,3
49,1,3,9,2
49,1,4,10,2
49,1,5,11,1
49,1,6,12,1
49,1,7,13,1
49,1,8,14,1
49,2,2,15,3
49,2,3,16,2
49,2,4,17,2
49,2,5,18,1
49,2,6,19,1
49,2,7,20,1
49,2,8,21,1
49,3,2,22,2
49,3,3,23,2
49,3,4,24,1
49,3,5,25,1
49,3,6,26,1
49,3,7,27,1
49,3,8,28,0
49,4,2,29,2
49,4,3,30,2
49,4,4,31,1
49,4,5,32,1
49,4,6,33,1
49,4,7,34,0
49,4,8,35,0
49,5,2,36,2
49,5,3,37,1
49,5,4,38,1
49,5,5,39,1
49,5,6,40,0
49,5,7,41,0
49,5,8,42,0
49,6,2,43,2
49,6,3,44,1
49,6,4,45,1
49,6,5,46,1
49,6,6,47,1
49,6,7,48,0
49,6,8,49,0
49,6,9,50,0
50,1,2,8,3
50,1,3,9,2
50,1,4,10,2
50,1,5,11,1
50,1,6,12,1
50,1,7,13,1
50,1,8,14,1
50,2,2,15,3
50,2,3,16,2
50,2,4,17,2
50,2,5,18,1
50,2,6,19,1
50,2,7,20,1
50,2,8,21,1
50,3,2,22,2
50,3,3,23,2
50,3,4,24,1
50,3,5,25,1
50,3,6,26,1
50,3,7,27,1
50,3,8,28,0
50,4,2,29,2
50,4,3,30,2
50,4,4,31,1
50,4,5,32,1
50,4,6,33,1
50,4,7,34,0
50,4,8,35,0
50,5,2,36,2
50,5,3,37,1
50,5,4,38,1
50,5,5,39,1
50,5,6,40,1
50,5,7,41,0
50,5,8,42,0
50,5,9,43,0
50,6,2,44,2
50,6,3,45,1
50,6,4,46,1
50,6,5,47,1
50,6,6,48,0
50,6,7,49,0
50,6,8,50,0
50,6,9,51,0
51,1,2,8,3
51,1,3,9,2
51,1,4,10,2
51,1,5,11,1
51,1,6,12,1
51,1,7,13,1
51,1,8,14,1
51,2,2,15,3
51,2,3,16,2
51,2,4,17,1
51,2,5,18,1
51,2,6,19,1
51,2,7,20,1
51,2,8,21,1
51,3,2,22,2
51,3,3,23,2
51,3,4,24,1
51,3,5,25,1
51,3,6,26,1
51,3,7,27,1
51,3,8,28,0
51,4,2,29,2
51,4,3,30,2
51,4,4,31,1
51,4,5,32,1
51,4,6,33,1
51,4,7,34,0
51,4,8,35,0
51,4,9,36,0
51,5,2,37,2
51,5,3,38,1
51,5,4,39,1
51,5,5,40,1
51,5,6,41,1
51,5,7,42,0
51,5,8,43,0
51,5,9,44,0
51,6,2,45,2
51,6,3,46,1
51,6,4,47,1
51,6,5,48,1
51,6,6,49,1
51,6,7,50,0
51,6,8,51,0
51,6,9,52,0
52,1,2,8,3
52,1,3,9,2
52,1,4,10,1
52,1,5,11,1
52,1,6,12,1
52,1,7,13,1
52,1,8,14,1
52,2,2,15,3
52,2,3,16,2
52,2,4,17,2
52,2,5,18,1
52,2,6,19,1
52,2,7,20,1
52,2,8,21,1
52,3,2,22,2
52,3,3,23,2
52,3,4,24,1
52,3,5,25,1
52,3,6,26,1
52,3,7,27,1
52,3,8,28,1
52,3,9,29,0
52,4,2,30,2
52,4,3,31,2
