# TIA-102.BAAA-B annex_a3_ldu1_transmit_bit_order.csv -- LDU1 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 58-70
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..863 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
185,Status 5,c_3(2),c_2(3)
186,Status 5,c_7(6),c_5(8)
187,Status 5,c_0(4),c_1(3)
188,Status 5,c_2(2),c_3(1)
189,Status 5,c_5(7),c_7(5)
190,Status 5,c_1(2),c_0(3)
191,Status 5,c_3(0),c_2(1)
192,Status 5,c_7(4),c_5(6)
193,Status 5,c_0(2),c_1(1)
194,Status 5,c_2(0),c_4(14)
195,Status 5,c_5(5),c_7(3)
196,Status 5,c_1(0),c_0(1)
197,Status 5,c_4(13),c_3(22)
198,Status 5,c_7(2),c_5(4)
199,Status 5,c_0(0),c_2(22)
200,Status 5,c_3(21),c_4(12)
201,Status 5,c_5(3),c_7(1)
202,Status 5,c_2(21),c_1(22)
203,Status 5,c_4(11),c_3(20)
204,END of 2,c_7(0),c_5(2)
205,END of 2,LC_format(7),LC_format(6)
206,END of 2,LC_format(5),LC_format(4)
207,END of 2,LC_format(3),LC_format(2)
208,END of 2,Short_Hamm_parity(3),Short_Hamm_parity(2)
209,END of 2,Short_Hamm_parity(1),Short_Hamm_parity(0)
210,END of 2,LC_format(1),LC_format(0)
211,END of 2,MFID(7),MFID(6)
212,END of 2,MFID(5),MFID(4)
213,END of 2,Short_Hamm_parity(3),Short_Hamm_parity(2)
214,END of 2,Short_Hamm_parity(1),Short_Hamm_parity(0)
215,Status 6,SS(1),SS(0)
216,Status 6,MFID(3),MFID(2)
217,Status 6,MFID(1),MFID(0)
218,Status 6,LC_information(55),LC_information(54)
219,Status 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
220,Status 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
221,Status 6,LC_information(53),LC_information(52)
222,Status 6,LC_information(51),LC_information(50)
223,Status 6,LC_information(49),LC_information(48)
224,Status 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
225,Status 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
226,IMBE 3,c_0(22),c_1(21)
227,IMBE 3,c_2(20),c_3(19)
228,IMBE 3,c_4(10),c_5(1)
229,IMBE 3,c_1(20),c_0(21)
230,IMBE 3,c_3(18),c_2(19)
231,IMBE 3,c_5(0),c_4(9)
232,IMBE 3,c_0(20),c_1(19)
233,IMBE 3,c_2(18),c_3(17)
234,IMBE 3,c_4(8),c_6(14)
235,IMBE 3,c_1(18),c_0(19)
236,IMBE 3,c_3(16),c_2(17)
237,IMBE 3,c_6(13),c_4(7)
238,IMBE 3,c_0(18),c_1(17)
239,IMBE 3,c_2(16),c_3(15)
240,IMBE 3,c_4(6),c_6(12)
241,IMBE 3,c_1(16),c_0(17)
242,IMBE 3,c_3(14),c_2(15)
243,IMBE 3,c_6(11),c_4(5)
244,IMBE 3,c_0(16),c_1(15)
245,IMBE 3,c_2(14),c_3(13)
246,IMBE 3,c_4(4),c_6(10)
247,IMBE 3,c_1(14),c_0(15)
248,IMBE 3,c_3(12),c_2(13)
249,IMBE 3,c_6(9),c_4(3)
250,IMBE 3,c_0(14),c_1(13)
251,Status 7,SS(1),SS(0)
252,Status 7,c_2(12),c_3(11)
253,Status 7,c_4(2),c_6(8)
254,Status 7,c_1(12),c_0(13)
255,Status 7,c_3(10),c_2(11)
256,Status 7,c_6(7),c_4(1)
257,Status 7,c_0(12),c_1(11)
258,Status 7,c_2(10),c_3(9)
259,Status 7,c_4(0),c_6(6)
260,Status 7,c_1(10),c_0(11)
261,Status 7,c_3(8),c_2(9)
262,Status 7,c_6(5),c_5(14)
263,Status 7,c_0(10),c_1(9)
264,Status 7,c_2(8),c_3(7)
265,Status 7,c_5(13),c_6(4)
266,Status 7,c_1(8),c_0(9)
267,Status 7,c_3(6),c_2(7)
268,Status 7,c_6(3),c_5(12)
269,Status 7,c_0(8),c_1(7)
270,Status 7,c_2(6),c_3(5)
271,Status 7,c_5(11),c_6(2)
272,Status 7,c_1(6),c_0(7)
273,Status 7,c_3(4),c_2(5)
274,Status 7,c_6(1),c_5(10)
275,Status 7,c_0(6),c_1(5)
276,Status 7,c_2(4),c_3(3)
277,Status 7,c_5(9),c_6(0)
278,Status 7,c_1(4),c_0(5)
279,Status 7,c_3(2),c_2(3)
280,Status 7,c_7(6),c_5(8)
281,Status 7,c_0(4),c_1(3)
282,Status 7,c_2(2),c_3(1)
283,Status 7,c_5(7),c_7(5)
284,Status 7,c_1(2),c_0(3)
285,Status 7,c_3(0),c_2(1)
286,Status 7,c_7(4),c_5(6)
287,Status 8,SS(1),SS(0)
288,Status 8,c_0(2),c_1(1)
289,Status 8,c_2(0),c_4(14)
290,Status 8,c_5(5),c_7(3)
291,Status 8,c_1(0),c_0(1)
292,Status 8,c_4(13),c_3(22)
293,Status 8,c_7(2),c_5(4)
294,Status 8,c_0(0),c_2(22)
295,Status 8,c_3(21),c_4(12)
296,Status 8,c_5(3),c_7(1)
297,Status 8,c_2(21),c_1(22)
298,Status 8,c_4(11),c_3(20)
299,END of 3,c_7(0),c_5(2)
300,END of 3,LC_information(47),LC_information(46)
301,END of 3,LC_information(45),LC_information(44)
302,END of 3,LC_information(43),LC_information(42)
303,END of 3,Short_Hamm_parity(3),Short_Hamm_parity(2)
304,END of 3,Short_Hamm_parity(1),Short_Hamm_parity(0)
305,END of 3,LC_information(41),LC_information(40)
306,END of 3,LC_information(39),LC_information(38)
307,END of 3,LC_information(37),LC_information(36)
