# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
226,Status 6,TGID(7),TGID(6)
227,Status 6,Short_Golay_parity(11),Short_Golay_parity(10)
228,Status 6,Short_Golay_parity(9),Short_Golay_parity(8)
229,Status 6,Short_Golay_parity(7),Short_Golay_parity(6)
230,Status 6,Short_Golay_parity(5),Short_Golay_parity(4)
231,Status 6,Short_Golay_parity(3),Short_Golay_parity(2)
232,Status 6,Short_Golay_parity(1),Short_Golay_parity(0)
233,Status 6,TGID(5),TGID(4)
234,Status 6,TGID(3),TGID(2)
235,Status 6,TGID(1),TGID(0)
236,Status 6,Short_Golay_parity(11),Short_Golay_parity(10)
237,Status 6,Short_Golay_parity(9),Short_Golay_parity(8)
238,Status 6,Short_Golay_parity(7),Short_Golay_parity(6)
239,Status 6,Short_Golay_parity(5),Short_Golay_parity(4)
240,Status 6,Short_Golay_parity(3),Short_Golay_parity(2)
241,Status 6,Short_Golay_parity(1),Short_Golay_parity(0)
242,Status 6,RS_parity_15(5),RS_parity_15(4)
243,Status 6,RS_parity_15(3),RS_parity_15(2)
244,Status 6,RS_parity_15(1),RS_parity_15(0)
245,Status 6,Short_Golay_parity(11),Short_Golay_parity(10)
246,Status 6,Short_Golay_parity(9),Short_Golay_parity(8)
247,Status 6,Short_Golay_parity(7),Short_Golay_parity(6)
248,Status 6,Short_Golay_parity(5),Short_Golay_parity(4)
249,Status 6,Short_Golay_parity(3),Short_Golay_parity(2)
250,Status 6,Short_Golay_parity(1),Short_Golay_parity(0)
251,Status 7,SS(1),SS(0)
252,Status 7,RS_parity_14(5),RS_parity_14(4)
253,Status 7,RS_parity_14(3),RS_parity_14(2)
254,Status 7,RS_parity_14(1),RS_parity_14(0)
255,Status 7,Short_Golay_parity(11),Short_Golay_parity(10)
256,Status 7,Short_Golay_parity(9),Short_Golay_parity(8)
257,Status 7,Short_Golay_parity(7),Short_Golay_parity(6)
258,Status 7,Short_Golay_parity(5),Short_Golay_parity(4)
259,Status 7,Short_Golay_parity(3),Short_Golay_parity(2)
260,Status 7,Short_Golay_parity(1),Short_Golay_parity(0)
261,Status 7,RS_parity_13(5),RS_parity_13(4)
